Latitude,Longitude,Century_of_Origin,Known_Date_of_Origin,Dedication,Active_Devotion,MRO_Devotion,RAS)"
41.905341,12.486559,19,1801,2.2222222,0,,0
41.896612,12.494413,19,1801,2.2222222,0,,0
41.89902,12.477964,19,1801,2.22222222,0,,2
41.90053,12.48539,19,1801,2.22222222,0,,0
41.895983,12.473697,19,1801,2.22222222,0,,0
41.906601,12.478288,19,1801,2.22222222,0,,0
41.893314,12.473975,19,1801,2.22222222,0,,0
41.89381,12.49242,19,1801,2.22222222,0,,2
41.901131,12.476869,19,1801,2.22222222,0,,0
41.904969,12.481628,19,1801,2.22222222,0,,0
41.889381,12.477011,19,1801,2.22222222,0,,0
41.904281,12.486586,19,1801,2.22222222,0,,2
41.903232,12.488443,19,1801,2.22222222,0,,0
41.903662,12.477898,19,1801,2.22222222,0,,0
41.90229,12.47371,19,1801,2.22222222,0,,0
41.894178,12.472131,19,1801,2.22222222,0,,0
41.890318,12.506691,19,1897,2.22222222,0,,0
41.897334,12.476037,19,1801,2.222222222,0,,2
41.89754,12.48491,19,1801,2.222222222,0,,0
41.89965,12.4715,19,1801,2.222222222,0,,0
41.89381,12.48954,19,1849,2.222222222,0,,0
41.90863,12.477596,19,1801,2.222222222,0,,2
41.897693,12.47352,19,1801,2.222222222,0,,0
41.906543,12.479773,19,1801,2.222222222,0,,0
41.900461,12.46639,19,1801,2.222222222,1,2015,1
41.897174,12.478218,19,1801,2.222222222,0,,2
41.896063,12.493985,19,1801,2.222222222,0,,0
41.899042,12.47758,19,1850,2.22222229,0,,0
41.902037,12.502921,19,1801,2.229,0,,0
41.89936,12.48225,19,1860,2.444444444,0,,0
41.899888,12.472118,19,1801,2.777,0,,0
41.902288,12.484069,19,1801,4.4,0,,0
41.889551,12.460918,19,1848,4.444,0,,1
41.90403,12.48521,19,1801,5.15,0,,0
41.89742,12.467797,19,1801,5.5551,0,,2
41.895844,12.501079,19,1801,5.5551,0,,0
41.89526,12.47504,19,1801,5.5551,0,,0
41.895157,12.477563,19,1801,5.555555,0,,0
41.896421,12.497637,19,1801,5.555555556,0,,0
41.89685,12.47057,19,1801,6.66666,0,,1
41.901139,12.471955,19,1801,9,0,,9
41.89495,12.493721,19,1801,9,0,,0
41.911384,12.467551,20,1901,1.1,0,,0
41.836486,12.574295,20,1901,1.1,1,2016,1
41.886876,12.519628,20,1901,1.1,0,,0
41.885271,12.518891,20,1901,1.1,0,,0
41.878671,12.575107,20,1901,1.1,1,2016,1
41.89983,12.48439,20,1901,1.11,1,2016,1
41.90676,12.449116,20,1901,1.111,1,2017,1
41.884026,12.530174,20,1901,1.1111,1,2016,1
